,answer_relevancy,context_precision,context_recall,faithfulness
sentence,0.32,0.26666666666666666,0.32000000000000006,0.2
semantic,0.0,0.0,0.13999999999999999,0.0
sliding_window,0.24666666666666667,0.08666666666666667,0.14666666666666667,0.14666666666666667
fixed,0.367,0.313,0.393,0.32
recursive,0.347,0.287,0.36,0.307
